id,entity_legal_form_id:id,name
entity_legal_form_abbreviation_314,entity_legal_form_399,coop
entity_legal_form_abbreviation_315,entity_legal_form_399,co-op
entity_legal_form_abbreviation_316,entity_legal_form_400,LLP
entity_legal_form_abbreviation_317,entity_legal_form_400,SRL
entity_legal_form_abbreviation_318,entity_legal_form_400,SENCRL
entity_legal_form_abbreviation_319,entity_legal_form_402,LLP
entity_legal_form_abbreviation_320,entity_legal_form_402,SRL
entity_legal_form_abbreviation_321,entity_legal_form_402,SENCRL
entity_legal_form_abbreviation_322,entity_legal_form_404,LLP
entity_legal_form_abbreviation_323,entity_legal_form_404,SRL
entity_legal_form_abbreviation_324,entity_legal_form_404,SENCRL
entity_legal_form_abbreviation_325,entity_legal_form_406,LLP
entity_legal_form_abbreviation_326,entity_legal_form_406,SRL
entity_legal_form_abbreviation_327,entity_legal_form_406,SENCRL
entity_legal_form_abbreviation_328,entity_legal_form_408,Ltd.
entity_legal_form_abbreviation_329,entity_legal_form_408,Inc.
entity_legal_form_abbreviation_330,entity_legal_form_408,Corp.
entity_legal_form_abbreviation_331,entity_legal_form_411,Ltd.
entity_legal_form_abbreviation_332,entity_legal_form_411,Inc.
entity_legal_form_abbreviation_333,entity_legal_form_411,Corp.
entity_legal_form_abbreviation_334,entity_legal_form_420,coop
entity_legal_form_abbreviation_335,entity_legal_form_420,co-op
entity_legal_form_abbreviation_336,entity_legal_form_421,coop
entity_legal_form_abbreviation_337,entity_legal_form_421,co-op
entity_legal_form_abbreviation_338,entity_legal_form_422,Ltd.
entity_legal_form_abbreviation_339,entity_legal_form_422,Inc.
entity_legal_form_abbreviation_340,entity_legal_form_422,Corp.
entity_legal_form_abbreviation_341,entity_legal_form_423,Ltée
entity_legal_form_abbreviation_342,entity_legal_form_423,Inc.
entity_legal_form_abbreviation_343,entity_legal_form_423,S.A.R.F.
entity_legal_form_abbreviation_344,entity_legal_form_424,a religious society
entity_legal_form_abbreviation_345,entity_legal_form_424,communauté religieuse
entity_legal_form_abbreviation_346,entity_legal_form_425,Incorporated
entity_legal_form_abbreviation_347,entity_legal_form_425,Incorporee
entity_legal_form_abbreviation_348,entity_legal_form_425,Corporation
entity_legal_form_abbreviation_349,entity_legal_form_425,Inc.
entity_legal_form_abbreviation_350,entity_legal_form_425,Corp.
entity_legal_form_abbreviation_351,entity_legal_form_426,Limited
entity_legal_form_abbreviation_352,entity_legal_form_426,Limitee
entity_legal_form_abbreviation_353,entity_legal_form_426,Incorporated
entity_legal_form_abbreviation_354,entity_legal_form_426,Incorporee
entity_legal_form_abbreviation_355,entity_legal_form_426,Corporation
entity_legal_form_abbreviation_356,entity_legal_form_426,Ltd.
entity_legal_form_abbreviation_357,entity_legal_form_426,Ltee.
entity_legal_form_abbreviation_358,entity_legal_form_426,Inc.
entity_legal_form_abbreviation_359,entity_legal_form_426,Corp.
entity_legal_form_abbreviation_360,entity_legal_form_426,Ltd
entity_legal_form_abbreviation_361,entity_legal_form_427,Limited Liability Partnership
entity_legal_form_abbreviation_362,entity_legal_form_427,LLP
entity_legal_form_abbreviation_363,entity_legal_form_427,Société à Responabilité Limitée
entity_legal_form_abbreviation_364,entity_legal_form_427,s.r.l.
entity_legal_form_abbreviation_365,entity_legal_form_428,Cooperative Limited
entity_legal_form_abbreviation_366,entity_legal_form_428,Cooperative Ltd.
entity_legal_form_abbreviation_367,entity_legal_form_428,Cooperative Inc.
entity_legal_form_abbreviation_368,entity_legal_form_428,Cooperative incorporated
entity_legal_form_abbreviation_369,entity_legal_form_428,Co-operative Limited
entity_legal_form_abbreviation_370,entity_legal_form_428,Co-operative Ltd
entity_legal_form_abbreviation_371,entity_legal_form_428,Co-operative Inc
entity_legal_form_abbreviation_372,entity_legal_form_428,Co-operative incorporated
entity_legal_form_abbreviation_373,entity_legal_form_428,Coopérative limitée
entity_legal_form_abbreviation_374,entity_legal_form_428,Coopérative ltée
entity_legal_form_abbreviation_375,entity_legal_form_428,Pool Limited
entity_legal_form_abbreviation_376,entity_legal_form_428,Pool Ltd.
entity_legal_form_abbreviation_377,entity_legal_form_428,Pool Inc.
entity_legal_form_abbreviation_378,entity_legal_form_428,Pool incorporated
entity_legal_form_abbreviation_379,entity_legal_form_428,Co-op Limited
entity_legal_form_abbreviation_380,entity_legal_form_428,Co-op limitée
entity_legal_form_abbreviation_381,entity_legal_form_428,Co-op incorporated
entity_legal_form_abbreviation_382,entity_legal_form_428,Co-op incorporée
entity_legal_form_abbreviation_383,entity_legal_form_428,Co-op Inc.
entity_legal_form_abbreviation_384,entity_legal_form_429,The Ukrainian Catholic Parish of
entity_legal_form_abbreviation_385,entity_legal_form_429,La Paroisse catholique ukrainienne de
entity_legal_form_abbreviation_386,entity_legal_form_430,Condominium Corporation
entity_legal_form_abbreviation_387,entity_legal_form_432,Limited Partnership
entity_legal_form_abbreviation_388,entity_legal_form_432,LP
entity_legal_form_abbreviation_389,entity_legal_form_432,SOCIETE EN COMMANDITE
entity_legal_form_abbreviation_390,entity_legal_form_432,limited partnership
entity_legal_form_abbreviation_391,entity_legal_form_435,credit union Limited
entity_legal_form_abbreviation_392,entity_legal_form_435,credit union Ltd
entity_legal_form_abbreviation_393,entity_legal_form_435,caisse populaire limitée
entity_legal_form_abbreviation_394,entity_legal_form_435,caisee populaire ltée
entity_legal_form_abbreviation_395,entity_legal_form_439,c.p.
entity_legal_form_abbreviation_396,entity_legal_form_440,P.C.
entity_legal_form_abbreviation_397,entity_legal_form_441,Corporation de prêt
entity_legal_form_abbreviation_398,entity_legal_form_441,Société de prêt
entity_legal_form_abbreviation_399,entity_legal_form_441,Compagnie de prêt
entity_legal_form_abbreviation_400,entity_legal_form_442,Loan Corporation
entity_legal_form_abbreviation_401,entity_legal_form_442,Loan Corp.
entity_legal_form_abbreviation_402,entity_legal_form_442,Loan Company
entity_legal_form_abbreviation_403,entity_legal_form_444,limitée
entity_legal_form_abbreviation_404,entity_legal_form_444,ltée
entity_legal_form_abbreviation_405,entity_legal_form_447,LP
entity_legal_form_abbreviation_406,entity_legal_form_448,LP
entity_legal_form_abbreviation_407,entity_legal_form_450,LLP
entity_legal_form_abbreviation_408,entity_legal_form_453,Ltd.
entity_legal_form_abbreviation_409,entity_legal_form_453,Inc.
entity_legal_form_abbreviation_410,entity_legal_form_453,Corp.
entity_legal_form_abbreviation_411,entity_legal_form_454,Ltd.
entity_legal_form_abbreviation_412,entity_legal_form_454,Inc.
entity_legal_form_abbreviation_413,entity_legal_form_454,Corp.
entity_legal_form_abbreviation_414,entity_legal_form_455,P.C.
entity_legal_form_abbreviation_415,entity_legal_form_458,Loan Corporation
entity_legal_form_abbreviation_416,entity_legal_form_458,Loan Corp.
entity_legal_form_abbreviation_417,entity_legal_form_458,Loan Company
entity_legal_form_abbreviation_418,entity_legal_form_459,LLP
entity_legal_form_abbreviation_419,entity_legal_form_465,Corporation de fiducie
entity_legal_form_abbreviation_420,entity_legal_form_465,Compagnie de fiducie
entity_legal_form_abbreviation_421,entity_legal_form_465,Corporation fiduciaire
entity_legal_form_abbreviation_422,entity_legal_form_465,Compagnie fiduciaire
entity_legal_form_abbreviation_423,entity_legal_form_465,Société fiduciaire
entity_legal_form_abbreviation_424,entity_legal_form_466,Ltd.
entity_legal_form_abbreviation_425,entity_legal_form_466,Ltd
entity_legal_form_abbreviation_426,entity_legal_form_466,Limited
entity_legal_form_abbreviation_427,entity_legal_form_467,limitée
entity_legal_form_abbreviation_428,entity_legal_form_467,ltée
entity_legal_form_abbreviation_429,entity_legal_form_475,Ltée
entity_legal_form_abbreviation_430,entity_legal_form_475,Inc.
entity_legal_form_abbreviation_431,entity_legal_form_475,Corp.
entity_legal_form_abbreviation_432,entity_legal_form_477,C.E.R.
entity_legal_form_abbreviation_433,entity_legal_form_483,Trust Corporation
entity_legal_form_abbreviation_434,entity_legal_form_483,Trust Corp.
entity_legal_form_abbreviation_435,entity_legal_form_483,Trust Company
